inventory_id,store_id,product_id,stock_on_hand,store_name,store_city,store_location,store_open_date,year_operation
0,1,1,27,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
1,1,2,0,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
2,1,3,32,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
3,1,4,6,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
4,1,5,0,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
5,1,6,79,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
6,1,7,5,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
7,1,8,63,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
8,1,9,12,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
9,1,10,22,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
10,1,11,19,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
11,1,12,3,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
12,1,13,12,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
13,1,14,3,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
14,1,15,2,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
15,1,16,8,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
16,1,17,7,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
17,1,18,11,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
18,1,19,25,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
19,1,20,11,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
20,1,21,21,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
21,1,22,2,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
22,1,23,1,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
23,1,24,9,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
24,1,25,54,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
25,1,26,13,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
26,1,27,33,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
27,1,28,10,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
28,1,29,4,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
29,1,30,44,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
30,1,31,7,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
31,1,32,4,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
32,1,33,2,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
33,1,34,0,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
34,1,35,12,Maven Toys Guadalajara 1,Guadalajara,Residential,1992-09-18,24
35,2,1,0,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
36,2,2,6,Maven Toys Monterrey 1,Monterrey,Residential,1995-04-27,21
